user_id,username,first_name,last_name,email,password,is_staff,is_active,address,city,postcode
58,grace.evans58,Grace,Evans,grace.evans58@email.com,123,False,True,116 High Street,Bristol,BS3 1LZ
59,mia.smith59,Mia,Smith,mia.smith59@email.com,123,False,True,50 Queen Avenue,Bristol,BS8 2HY
60,jack.evans60,Jack,Evans,jack.evans60@email.com,123,False,True,90 Clifton Down,Bristol,BS8 2HY
61,eve.taylor61,Eve,Taylor,eve.taylor61@email.com,123,False,True,38 King Street,Bristol,BS1 4PJ
62,sam.walker62,Sam,Walker,sam.walker62@email.com,123,False,True,70 High Street,Bristol,BS6 7NR
63,bob.smith63,Bob,Smith,bob.smith63@email.com,123,False,True,75 Station Road,Bristol,BS9 1JB
64,quinn.williams64,Quinn,Williams,quinn.williams64@email.com,123,False,True,8 Clifton Down,Bristol,BS2 8QD
65,frank.jones65,Frank,Jones,frank.jones65@email.com,123,False,True,77 Church Road,Bristol,BS4 3EW
66,mia.jones66,Mia,Jones,mia.jones66@email.com,123,False,True,114 Whiteladies Road,Bristol,BS4 3EW
67,sam.roberts67,Sam,Roberts,sam.roberts67@email.com,123,False,True,6 Whiteladies Road,Bristol,BS2 8QD
68,noah.johnson68,Noah,Johnson,noah.johnson68@email.com,123,False,True,75 Whiteladies Road,Bristol,BS9 1JB
69,karen.brown69,Karen,Brown,karen.brown69@email.com,123,False,True,27 Park Lane,Bristol,BS4 3EW
70,isla.evans70,Isla,Evans,isla.evans70@email.com,123,False,True,17 Queen Avenue,Bristol,BS8 2HY
71,karen.jones71,Karen,Jones,karen.jones71@email.com,123,False,True,2 Station Road,Bristol,BS10 5EX
72,sam.jones72,Sam,Jones,sam.jones72@email.com,123,False,True,10 Clifton Down,Bristol,BS4 3EW
73,quinn.brown73,Quinn,Brown,quinn.brown73@email.com,123,False,True,17 Park Lane,Bristol,BS2 8QD
74,henry.davies74,Henry,Davies,henry.davies74@email.com,123,False,True,37 Victoria Road,Bristol,BS8 2HY
75,rachel.walker75,Rachel,Walker,rachel.walker75@email.com,123,False,True,39 Whiteladies Road,Bristol,BS9 1JB
76,alice.johnson76,Alice,Johnson,alice.johnson76@email.com,123,False,True,105 Clifton Down,Bristol,BS5 6HX
77,diana.williams77,Diana,Williams,diana.williams77@email.com,123,False,True,34 Church Road,Bristol,BS2 8QD
78,rachel.williams78,Rachel,Williams,rachel.williams78@email.com,123,False,True,35 Queen Avenue,Bristol,BS10 5EX
79,grace.walker79,Grace,Walker,grace.walker79@email.com,123,False,True,44 King Street,Bristol,BS5 6HX
80,quinn.wilson80,Quinn,Wilson,quinn.wilson80@email.com,123,False,True,33 High Street,Bristol,BS2 8QD
